Epoch,Best Candidate,Mean Fitness,
443,552,484.962,
444,552,483.768,
445,552,477.2,
446,552,479.738,
447,552,492.436,
448,552,490.774,
449,552,489.67,
450,552,488.878,
451,552,488.16,
452,556,483.142,
453,556,486.704,
454,556,491.52,
455,561,493.29,
456,561,487.508,
457,563,500.572,
458,563,499.682,
459,563,496.894,
460,564,495.308,
461,564,497.062,
462,564,498.352,
463,564,497.796,
464,564,497.704,
465,564,494.416,
466,564,493.196,
467,564,499.382,
468,564,501.66,
469,564,508.64,
470,564,502.678,
471,564,498.482,
472,564,498.894,
473,568,495.538,
474,572,498.22,
475,572,503.218,
476,572,505.666,
477,577,501.96,
478,577,499.204,
479,577,502.414,
480,577,504.7,
481,579,504.178,
482,581,500.844,
483,585,506.188,
484,585,505.606,
485,585,511.066,
486,585,515.44,
487,588,515.056,
488,588,515.21,
489,588,512.668,
490,590,506.648,
491,590,509.884,
492,600,517.05,
493,600,508.744,
494,600,512.542,
495,600,511.258,
496,602,514.702,
497,602,516.508,
498,602,521.64,
499,602,515.14,
500,609,521.644,
501,609,521.558,
502,609,518.91,
503,609,521.97,
504,609,529.632,
505,609,532.54,
506,615,538.96,
507,615,530.148,
508,615,540.226,
509,615,539.94,
510,615,543.438,
511,615,542.82,
512,615,538.106,
513,615,540.406,
514,615,536.18,
515,616,540.568,
516,616,538.876,
517,616,545.994,
518,616,542.258,
519,616,540.03,
520,616,538.218,
521,616,542.714,
522,619,541.774,
523,619,540.796,
524,619,538.272,
525,619,534.036,
526,619,541.012,
527,619,541.078,
528,619,544.348,
529,619,543.552,
530,619,543.54,
531,619,544.656,
532,619,543.022,
533,619,552.63,
534,619,546.834,
535,619,551.952,
536,620,553.938,
537,620,549.408,
538,620,551.954,
539,620,544.002,
540,620,544.748,
541,620,549.874,
542,620,555.438,
543,623,554.25,
544,623,552.86,
545,623,558.0,
546,624,559.76,
547,624,558.68,
548,624,558.294,
549,627,553.548,
550,628,556.06,
551,628,552.624,
552,628,549.91,
553,628,549.222,
554,628,552.822,
555,628,553.822,
556,628,552.83,
557,628,552.494,
558,631,546.416,
559,631,548.428,
560,631,544.774,
561,631,554.606,
562,631,548.362,
563,631,552.646,
564,631,546.298,
565,631,547.328,
566,631,542.9,
567,631,550.418,
568,631,549.858,
569,631,548.178,
570,631,551.734,
571,631,557.334,
572,631,549.404,
573,631,546.078,
574,631,547.21,
575,631,546.21,
576,631,552.458,
577,631,552.58,
578,631,555.574,
579,631,554.152,
580,631,558.99,
581,631,552.412,
582,631,557.572,
583,631,560.03,
584,631,563.402,
585,631,558.0,
586,631,563.662,
587,633,558.74,
588,633,560.344,
589,633,560.92,
590,633,560.698,
591,633,554.344,
592,633,556.81,
593,633,560.708,
594,633,563.068,
595,633,558.776,
596,633,558.21,
597,633,563.848,
598,633,563.87,
599,638,567.738,
600,638,560.232,
601,638,562.476,
602,638,559.188,
603,638,564.27,
604,638,559.672,
605,638,562.114,
606,638,558.196,
607,639,554.812,
608,639,557.316,
609,639,564.658,
610,639,561.344,
611,639,565.224,
612,639,562.626,
613,639,563.278,
614,639,573.47,
615,639,561.908,
616,639,562.56,
617,639,561.478,
618,642,564.412,
619,642,557.884,
620,642,560.196,
621,642,565.274,
622,642,563.308,
623,642,563.588,
624,642,564.672,
625,642,564.206,
626,643,565.348,
627,643,575.76,
628,643,572.32,
629,643,581.804,
630,643,571.082,
631,643,565.376,
632,643,564.126,
633,643,566.496,
634,643,563.622,
635,643,571.64,
636,643,567.196,
637,643,561.932,
638,643,570.028,
639,645,565.754,
640,645,573.038,
641,645,574.454,
642,645,570.49,
643,645,567.558,
644,645,570.458,
645,645,570.01,
646,645,565.112,
647,645,561.302,
648,645,568.064,
649,645,568.356,
650,645,567.082,
651,645,562.446,
652,645,562.072,
653,645,559.422,
654,645,564.266,
655,645,565.434,
656,645,566.73,
657,645,565.468,
658,645,566.39,
659,649,569.424,
660,649,572.448,
661,649,579.078,
662,649,574.924,
663,649,571.804,
664,649,577.684,
665,649,579.962,
666,651,581.594,
667,651,572.418,
668,651,576.67,
669,651,575.848,
670,651,575.65,
671,651,579.63,
672,651,580.946,
673,651,576.884,
674,651,584.418,
675,651,579.478,
676,651,584.2,
677,651,583.128,
678,651,578.59,
679,651,579.904,
680,651,577.56,
681,651,577.144,
682,651,577.188,
683,651,576.806,
684,651,577.952,
685,651,579.26,
686,652,580.324,
687,652,580.628,
688,652,582.408,
689,652,582.188,
690,652,576.298,
691,652,573.9,
692,652,576.104,
693,652,573.612,
694,652,582.244,
695,652,578.612,
696,652,580.654,
697,652,574.862,
698,652,582.198,
699,652,579.938,
700,652,584.524,
701,652,585.338,
702,652,577.878,
703,652,574.264,
704,652,579.544,
705,652,580.304,
706,652,582.694,
707,652,585.094,
708,652,581.732,
709,652,578.338,
710,652,582.312,
711,652,583.6,
712,652,583.36,
713,652,580.802,
714,652,573.76,
715,652,575.968,
716,652,582.028,
717,652,575.6,
718,652,573.734,
719,652,579.724,
720,652,582.55,
721,652,582.456,
722,652,580.07,
723,652,577.174,
724,654,585.364,
725,654,587.706,
726,654,586.804,
727,654,587.638,
728,654,581.796,
729,654,584.33,
730,654,588.992,
731,654,588.918,
732,654,577.814,
733,654,580.712,
734,654,574.282,
735,654,570.12,
736,654,579.83,
737,654,582.8,
738,654,584.494,
739,654,580.46,
740,654,583.412,
741,654,583.974,
742,654,588.816,
743,654,585.456,
744,654,586.362,
745,654,589.86,
746,654,589.494,
747,654,590.7,
748,654,591.628,
749,654,587.44,
750,654,583.788,
751,654,573.81,
752,654,576.65,
753,654,578.92,
754,654,575.406,
755,654,579.728,
756,654,580.524,
757,654,581.176,
758,654,576.99,
759,654,576.196,
760,654,579.174,
761,654,570.33,
762,654,577.4,
763,654,580.576,
764,654,583.878,
765,654,574.284,
766,654,577.888,
767,654,578.724,
768,654,584.444,
769,654,583.564,
770,654,579.826,
771,654,578.84,
772,654,579.63,
773,654,567.546,
774,654,566.51,
775,654,573.284,
776,654,576.064,
777,654,582.314,
778,654,580.866,
779,654,583.944,
780,654,575.464,
781,654,572.63,
782,654,574.14,
783,654,578.912,
784,654,581.528,
785,654,583.306,
786,654,579.472,
787,654,577.762,
788,654,570.512,
789,654,575.354,
790,654,575.708,
791,654,567.716,
792,654,570.472,
793,654,576.064,
794,654,573.312,
795,654,576.59,
796,654,581.932,
797,654,579.742,
798,654,578.016,
799,654,576.362,
800,655,581.108,
801,655,580.094,
802,655,574.874,
803,655,562.4,
804,655,575.728,
805,655,574.63,
806,655,576.174,
807,655,577.696,
808,655,577.77,
809,655,585.468,
810,655,587.208,
811,656,584.632,
812,656,576.042,
813,657,579.548,
814,657,583.348,
815,657,584.838,
816,657,588.182,
